
                    ************************************************
                    *                Model: CRAFLUSH               *
                    *           Parallel Crack Model D > 0         *
                    *            (C) E.A. Sudicky, 1988            *
                    *   Waterloo Centre for Groundwater Research   *
                    *            University of Waterloo            *
                    *       Waterloo, Ontario, CANADA N2L 3G1      *
                    ************************************************


  Source concentration at infinite time=     1.0000
  Initial concentration in matrix and fractures=     0.0000
  Velocity in fracture=  8.68056E-06
  Fracture dispersivity=      0.000
  Fracture aperture=  1.2000E-04
  Fracture spacing=      0.100
  Matrix porosity=      0.350
  Matrix tortuosity=      1.000
  Diff. coeff. in water=  1.0000E-12
  Fracture retardation factor=      1.000
  Matrix retardation factor=      1.000
  Non-decaying solute


  Numerical inversion parameters used in CRUMP

  ALPHR=  0.000
  RELERR=  1.0000E-06
  N=  15


  Variable source concentration

     Time       Concentration
  0.000            1.00000


    Time      Distance: along Fracture,  in Matrix     C(t)     Steady C
 8.6400E+04                      0.640       0.000  0.00691      1.00000
 8.6400E+04                      0.680       0.000  0.00033      1.00000
 8.6400E+04                      0.720       0.000  0.00000      1.00000
 8.6400E+04                      0.760       0.000 -0.00000      1.00000
 8.6400E+04                      0.800       0.000  0.00000      1.00000
 1.0800E+05                      0.010       0.000  0.98840      1.00000
 1.0800E+05                      0.040       0.000  0.95286      1.00000
 1.0800E+05                      0.080       0.000  0.90373      1.00000
 1.0800E+05                      0.120       0.000  0.85260      1.00000
 1.0800E+05                      0.160       0.000  0.79947      1.00000
 1.0800E+05                      0.200       0.000  0.74439      1.00000
 1.0800E+05                      0.240       0.000  0.68745      1.00000
 1.0800E+05                      0.280       0.000  0.62879      1.00000
 1.0800E+05                      0.320       0.000  0.56860      1.00000
 1.0800E+05                      0.360       0.000  0.50719      1.00000
 1.0800E+05                      0.400       0.000  0.44497      1.00000
 1.0800E+05                      0.440       0.000  0.38248      1.00000
 1.0800E+05                      0.480       0.000  0.32046      1.00000
 1.0800E+05                      0.520       0.000  0.25988      1.00000
 1.0800E+05                      0.560       0.000  0.20195      1.00000
 1.0800E+05                      0.600       0.000  0.14820      1.00000
 1.0800E+05                      0.640       0.000  0.10044      1.00000
 1.0800E+05                      0.680       0.000  0.06065      1.00000
 1.0800E+05                      0.720       0.000  0.03067      1.00000
 1.0800E+05                      0.760       0.000  0.01155      1.00000
 1.0800E+05                      0.800       0.000  0.00252      1.00000
 1.2960E+05                      0.010       0.000  0.98942      1.00000
 1.2960E+05                      0.040       0.000  0.95713      1.00000
 1.2960E+05                      0.080       0.000  0.91276      1.00000
 1.2960E+05                      0.120       0.000  0.86691      1.00000
 1.2960E+05                      0.160       0.000  0.81963      1.00000
 1.2960E+05                      0.200       0.000  0.77095      1.00000
 1.2960E+05                      0.240       0.000  0.72097      1.00000
 1.2960E+05                      0.280       0.000  0.66979      1.00000
 1.2960E+05                      0.320       0.000  0.61755      1.00000
 1.2960E+05                      0.360       0.000  0.56446      1.00000
 1.2960E+05                      0.400       0.000  0.51074      1.00000
 1.2960E+05                      0.440       0.000  0.45671      1.00000
 1.2960E+05                      0.480       0.000  0.40274      1.00000
 1.2960E+05                      0.520       0.000  0.34930      1.00000
 1.2960E+05                      0.560       0.000  0.29694      1.00000
 1.2960E+05                      0.600       0.000  0.24633      1.00000
 1.2960E+05                      0.640       0.000  0.19824      1.00000
 1.2960E+05                      0.680       0.000  0.15355      1.00000
 1.2960E+05                      0.720       0.000  0.11321      1.00000
 1.2960E+05                      0.760       0.000  0.07821      1.00000
 1.2960E+05                      0.800       0.000  0.04946      1.00000
 1.5120E+05                      0.010       0.000  0.99021      1.00000
 1.5120E+05                      0.040       0.000  0.96041      1.00000
 1.5120E+05                      0.080       0.000  0.91964      1.00000
 1.5120E+05                      0.120       0.000  0.87773      1.00000
 1.5120E+05                      0.160       0.000  0.83472      1.00000
 1.5120E+05                      0.200       0.000  0.79065      1.00000
 1.5120E+05                      0.240       0.000  0.74560      1.00000
 1.5120E+05                      0.280       0.000  0.69966      1.00000
 1.5120E+05                      0.320       0.000  0.65294      1.00000
 1.5120E+05                      0.360       0.000  0.60557      1.00000
 1.5120E+05                      0.400       0.000  0.55772      1.00000
 1.5120E+05                      0.440       0.000  0.50959      1.00000
 1.5120E+05                      0.480       0.000  0.46142      1.00000
 1.5120E+05                      0.520       0.000  0.41349      1.00000
 1.5120E+05                      0.560       0.000  0.36611      1.00000
 1.5120E+05                      0.600       0.000  0.31967      1.00000
 1.5120E+05                      0.640       0.000  0.27457      1.00000
 1.5120E+05                      0.680       0.000  0.23129      1.00000
 1.5120E+05                      0.720       0.000  0.19036      1.00000
 1.5120E+05                      0.760       0.000  0.15230      1.00000
 1.5120E+05                      0.800       0.000  0.11771      1.00000
 1.7280E+05                      0.010       0.000  0.99085      1.00000
 1.7280E+05                      0.040       0.000  0.96304      1.00000
 1.7280E+05                      0.080       0.000  0.92512      1.00000
 1.7280E+05                      0.120       0.000  0.88628      1.00000
 1.7280E+05                      0.160       0.000  0.84656      1.00000
 1.7280E+05                      0.200       0.000  0.80601      1.00000
 1.7280E+05                      0.240       0.000  0.76469      1.00000
 1.7280E+05                      0.280       0.000  0.72267      1.00000
 1.7280E+05                      0.320       0.000  0.68003      1.00000
 1.7280E+05                      0.360       0.000  0.63690      1.00000
 1.7280E+05                      0.400       0.000  0.59338      1.00000
 1.7280E+05                      0.440       0.000  0.54963      1.00000
 1.7280E+05                      0.480       0.000  0.50581      1.00000
 1.7280E+05                      0.520       0.000  0.46210      1.00000
 1.7280E+05                      0.560       0.000  0.41873      1.00000
 1.7280E+05                      0.600       0.000  0.37592      1.00000
 1.7280E+05                      0.640       0.000  0.33395      1.00000
 1.7280E+05                      0.680       0.000  0.29312      1.00000
 1.7280E+05                      0.720       0.000  0.25373      1.00000
 1.7280E+05                      0.760       0.000  0.21613      1.00000
 1.7280E+05                      0.800       0.000  0.18068      1.00000
 2.1600E+05                      0.010       0.000  0.99182      1.00000
 2.1600E+05                      0.040       0.000  0.96703      1.00000
 2.1600E+05                      0.080       0.000  0.93338      1.00000
 2.1600E+05                      0.120       0.000  0.89909      1.00000
 2.1600E+05                      0.160       0.000  0.86419      1.00000
 2.1600E+05                      0.200       0.000  0.82872      1.00000
 2.1600E+05                      0.240       0.000  0.79273      1.00000
 2.1600E+05                      0.280       0.000  0.75627      1.00000
 2.1600E+05                      0.320       0.000  0.71940      1.00000
 2.1600E+05                      0.360       0.000  0.68219      1.00000
 2.1600E+05                      0.400       0.000  0.64473      1.00000
 2.1600E+05                      0.440       0.000  0.60709      1.00000
 2.1600E+05                      0.480       0.000  0.56938      1.00000
 2.1600E+05                      0.520       0.000  0.53171      1.00000
 2.1600E+05                      0.560       0.000  0.49418      1.00000
 2.1600E+05                      0.600       0.000  0.45693      1.00000
 2.1600E+05                      0.640       0.000  0.42009      1.00000
 2.1600E+05                      0.680       0.000  0.38383      1.00000
 2.1600E+05                      0.720       0.000  0.34828      1.00000
 2.1600E+05                      0.760       0.000  0.31363      1.00000
 2.1600E+05                      0.800       0.000  0.28004      1.00000
 2.5920E+05                      0.010       0.000  0.99254      1.00000
 2.5920E+05                      0.040       0.000  0.96995      1.00000
 2.5920E+05                      0.080       0.000  0.93940      1.00000
 2.5920E+05                      0.120       0.000  0.90836      1.00000
 2.5920E+05                      0.160       0.000  0.87687      1.00000
 2.5920E+05                      0.200       0.000  0.84496      1.00000
 2.5920E+05                      0.240       0.000  0.81266      1.00000
 2.5920E+05                      0.280       0.000  0.78002      1.00000
