
                    ************************************************
                    *                Model: CRAFLUSH               *
                    *           Parallel Crack Model D > 0         *
                    *            (C) E.A. Sudicky, 1988            *
                    *   Waterloo Centre for Groundwater Research   *
                    *            University of Waterloo            *
                    *       Waterloo, Ontario, CANADA N2L 3G1      *
                    ************************************************


  Source concentration at infinite time=     1.0000
  Initial concentration in matrix and fractures=     0.0000
  Velocity in fracture=  8.68056E-06
  Fracture dispersivity=      0.760
  Fracture aperture=  1.2000E-04
  Fracture spacing=      0.100
  Matrix porosity=      0.350
  Matrix tortuosity=      1.000
  Diff. coeff. in water=  1.0000E-10
  Fracture retardation factor=      1.000
  Matrix retardation factor=      1.000
  Non-decaying solute


  Numerical inversion parameters used in CRUMP

  ALPHR=  0.000
  RELERR=  1.0000E-06
  N=  15


  Variable source concentration

     Time       Concentration
  0.000            1.00000


    Time      Distance: along Fracture,  in Matrix     C(t)     Steady C
 8.6400E+04                      0.640       0.000  0.04476      1.00000
 8.6400E+04                      0.680       0.000  0.03558      1.00000
 8.6400E+04                      0.720       0.000  0.02818      1.00000
 8.6400E+04                      0.760       0.000  0.02224      1.00000
 8.6400E+04                      0.800       0.000  0.01748      1.00000
 1.0800E+05                      0.010       0.000  0.96394      1.00000
 1.0800E+05                      0.040       0.000  0.86184      1.00000
 1.0800E+05                      0.080       0.000  0.73930      1.00000
 1.0800E+05                      0.120       0.000  0.63131      1.00000
 1.0800E+05                      0.160       0.000  0.53673      1.00000
 1.0800E+05                      0.200       0.000  0.45435      1.00000
 1.0800E+05                      0.240       0.000  0.38302      1.00000
 1.0800E+05                      0.280       0.000  0.32156      1.00000
 1.0800E+05                      0.320       0.000  0.26889      1.00000
 1.0800E+05                      0.360       0.000  0.22397      1.00000
 1.0800E+05                      0.400       0.000  0.18585      1.00000
 1.0800E+05                      0.440       0.000  0.15364      1.00000
 1.0800E+05                      0.480       0.000  0.12654      1.00000
 1.0800E+05                      0.520       0.000  0.10386      1.00000
 1.0800E+05                      0.560       0.000  0.08493      1.00000
 1.0800E+05                      0.600       0.000  0.06922      1.00000
