
                    ************************************************
                    *                Model: CRAFLUSH               *
                    *           Parallel Crack Model D > 0         *
                    *            (C) E.A. Sudicky, 1988            *
                    *   Waterloo Centre for Groundwater Research   *
                    *            University of Waterloo            *
                    *       Waterloo, Ontario, CANADA N2L 3G1      *
                    ************************************************


  Source concentration at infinite time=     1.0000
  Initial concentration in matrix and fractures=     0.0000
  Velocity in fracture=  8.68056E-06
  Fracture dispersivity=      0.760
  Fracture aperture=  1.2000E-04
  Fracture spacing=      0.100
  Matrix porosity=      0.350
  Matrix tortuosity=      1.000
  Diff. coeff. in water=  1.0000E-14
  Fracture retardation factor=      1.000
  Matrix retardation factor=      1.000
  Non-decaying solute


  Numerical inversion parameters used in CRUMP

  ALPHR=  0.000
  RELERR=  1.0000E-06
  N=  15


  Variable source concentration

     Time       Concentration
  0.000            1.00000


    Time      Distance: along Fracture,  in Matrix     C(t)     Steady C
    ----      --------- --------------   ---------     ----     --------
  100.0                          0.010       0.000  0.78732      1.00000
  100.0                          0.040       0.000  0.27673      1.00000
  100.0                          0.080       0.000  0.02886      1.00000
  100.0                          0.120       0.000  0.00102      1.00000
  100.0                          0.160       0.000  0.00001      1.00000
  100.0                          0.200       0.000  0.00000      1.00000
  100.0                          0.240       0.000  0.00000      1.00000
  100.0                          0.280       0.000  0.00000      1.00000
  100.0                          0.320       0.000  0.00000      1.00000
  100.0                          0.360       0.000  0.00000      1.00000
  100.0                          0.400       0.000  0.00000      1.00000
  100.0                          0.440       0.000  0.00000      1.00000
  100.0                          0.480       0.000  0.00000      1.00000
  100.0                          0.520       0.000  0.00000      1.00000
  100.0                          0.560       0.000  0.00000      1.00000
  100.0                          0.600       0.000  0.00000      1.00000
  100.0                          0.640       0.000  0.00000      1.00000
  100.0                          0.680       0.000  0.00000      1.00000
  100.0                          0.720       0.000  0.00000      1.00000
  100.0                          0.760       0.000  0.00000      1.00000
  100.0                          0.800       0.000  0.00000      1.00000
 2.1600E+04                      0.010       0.000  0.98959      1.00000
 2.1600E+04                      0.040       0.000  0.95780      1.00000
 2.1600E+04                      0.080       0.000  0.91422      1.00000
 2.1600E+04                      0.120       0.000  0.86952      1.00000
 2.1600E+04                      0.160       0.000  0.82399      1.00000
 2.1600E+04                      0.200       0.000  0.77794      1.00000
 2.1600E+04                      0.240       0.000  0.73165      1.00000
 2.1600E+04                      0.280       0.000  0.68543      1.00000
 2.1600E+04                      0.320       0.000  0.63958      1.00000
 2.1600E+04                      0.360       0.000  0.59437      1.00000
 2.1600E+04                      0.400       0.000  0.55008      1.00000
 2.1600E+04                      0.440       0.000  0.50695      1.00000
 2.1600E+04                      0.480       0.000  0.46522      1.00000
 2.1600E+04                      0.520       0.000  0.42508      1.00000
 2.1600E+04                      0.560       0.000  0.38670      1.00000
 2.1600E+04                      0.600       0.000  0.35023      1.00000
 2.1600E+04                      0.640       0.000  0.31577      1.00000
 2.1600E+04                      0.680       0.000  0.28342      1.00000
 2.1600E+04                      0.720       0.000  0.25321      1.00000
 2.1600E+04                      0.760       0.000  0.22518      1.00000
 2.1600E+04                      0.800       0.000  0.19932      1.00000
 4.3200E+04                      0.010       0.000  0.99367      1.00000
 4.3200E+04                      0.040       0.000  0.97433      1.00000
 4.3200E+04                      0.080       0.000  0.94778      1.00000
 4.3200E+04                      0.120       0.000  0.92043      1.00000
 4.3200E+04                      0.160       0.000  0.89235      1.00000
 4.3200E+04                      0.200       0.000  0.86363      1.00000
 4.3200E+04                      0.240       0.000  0.83436      1.00000
 4.3200E+04                      0.280       0.000  0.80463      1.00000
 4.3200E+04                      0.320       0.000  0.77453      1.00000
 4.3200E+04                      0.360       0.000  0.74417      1.00000
 4.3200E+04                      0.400       0.000  0.71364      1.00000
 4.3200E+04                      0.440       0.000  0.68303      1.00000
 4.3200E+04                      0.480       0.000  0.65247      1.00000
 4.3200E+04                      0.520       0.000  0.62203      1.00000
 4.3200E+04                      0.560       0.000  0.59181      1.00000
 4.3200E+04                      0.600       0.000  0.56191      1.00000
 4.3200E+04                      0.640       0.000  0.53242      1.00000
 4.3200E+04                      0.680       0.000  0.50343      1.00000
 4.3200E+04                      0.720       0.000  0.47500      1.00000
 4.3200E+04                      0.760       0.000  0.44723      1.00000
 4.3200E+04                      0.800       0.000  0.42016      1.00000
 6.4800E+04                      0.010       0.000  0.99538      1.00000
 6.4800E+04                      0.040       0.000  0.98128      1.00000
 6.4800E+04                      0.080       0.000  0.96193      1.00000
 6.4800E+04                      0.120       0.000  0.94199      1.00000
 6.4800E+04                      0.160       0.000  0.92147      1.00000
 6.4800E+04                      0.200       0.000  0.90043      1.00000
 6.4800E+04                      0.240       0.000  0.87890      1.00000
 6.4800E+04                      0.280       0.000  0.85691      1.00000
 6.4800E+04                      0.320       0.000  0.83452      1.00000
 6.4800E+04                      0.360       0.000  0.81176      1.00000
 6.4800E+04                      0.400       0.000  0.78869      1.00000
 6.4800E+04                      0.440       0.000  0.76535      1.00000
 6.4800E+04                      0.480       0.000  0.74179      1.00000
 6.4800E+04                      0.520       0.000  0.71806      1.00000
 6.4800E+04                      0.560       0.000  0.69422      1.00000
 6.4800E+04                      0.600       0.000  0.67031      1.00000
 6.4800E+04                      0.640       0.000  0.64639      1.00000
 6.4800E+04                      0.680       0.000  0.62251      1.00000
 6.4800E+04                      0.720       0.000  0.59871      1.00000
 6.4800E+04                      0.760       0.000  0.57506      1.00000
 6.4800E+04                      0.800       0.000  0.55158      1.00000
 8.6400E+04                      0.010       0.000  0.99635      1.00000
 8.6400E+04                      0.040       0.000  0.98522      1.00000
 8.6400E+04                      0.080       0.000  0.96997      1.00000
 8.6400E+04                      0.120       0.000  0.95425      1.00000
 8.6400E+04                      0.160       0.000  0.93807      1.00000
 8.6400E+04                      0.200       0.000  0.92146      1.00000
 8.6400E+04                      0.240       0.000  0.90444      1.00000
 8.6400E+04                      0.280       0.000  0.88703      1.00000
 8.6400E+04                      0.320       0.000  0.86925      1.00000
 8.6400E+04                      0.360       0.000  0.85112      1.00000
 8.6400E+04                      0.400       0.000  0.83267      1.00000
 8.6400E+04                      0.440       0.000  0.81393      1.00000
 8.6400E+04                      0.480       0.000  0.79492      1.00000
 8.6400E+04                      0.520       0.000  0.77567      1.00000
 8.6400E+04                      0.560       0.000  0.75621      1.00000
 8.6400E+04                      0.600       0.000  0.73657      1.00000
 8.6400E+04                      0.640       0.000  0.71679      1.00000
 8.6400E+04                      0.680       0.000  0.69689      1.00000
 8.6400E+04                      0.720       0.000  0.67691      1.00000
 8.6400E+04                      0.760       0.000  0.65688      1.00000
 8.6400E+04                      0.800       0.000  0.63682      1.00000
 1.0800E+05                      0.010       0.000  0.99699      1.00000
 1.0800E+05                      0.040       0.000  0.98779      1.00000
 1.0800E+05                      0.080       0.000  0.97520      1.00000
 1.0800E+05                      0.120       0.000  0.96223      1.00000
 1.0800E+05                      0.160       0.000  0.94890      1.00000
 1.0800E+05                      0.200       0.000  0.93520      1.00000
 1.0800E+05                      0.240       0.000  0.92116      1.00000
 1.0800E+05                      0.280       0.000  0.90679      1.00000
 1.0800E+05                      0.320       0.000  0.89209      1.00000
 1.0800E+05                      0.360       0.000  0.87708      1.00000
 1.0800E+05                      0.400       0.000  0.86177      1.00000
 1.0800E+05                      0.440       0.000  0.84619      1.00000
