
                    ************************************************
                    *                Model: CRAFLUSH               *
                    *           Parallel Crack Model D > 0         *
                    *            (C) E.A. Sudicky, 1988            *
                    *   Waterloo Centre for Groundwater Research   *
                    *            University of Waterloo            *
                    *       Waterloo, Ontario, CANADA N2L 3G1      *
                    ************************************************


  Source concentration at infinite time=     1.0000
  Initial concentration in matrix and fractures=     0.0000
  Velocity in fracture=  1.74000E-05
  Fracture dispersivity=      0.008
  Fracture aperture=  4.0000E-04
  Fracture spacing=      0.500
  Matrix porosity=      0.200
  Matrix tortuosity=      1.000
  Diff. coeff. in water=  4.4000E-10
  Fracture retardation factor=      1.000
  Matrix retardation factor=      1.000
  Non-decaying solute


  Numerical inversion parameters used in CRUMP

  ALPHR=  0.000
  RELERR=  1.0000E-06
  N=  18


  Variable source concentration

     Time       Concentration
  0.000            1.00000


    Time      Distance: along Fracture,  in Matrix     C(t)     Steady C
 8.6400E+06                      2.000       0.200  0.00395      1.00000
 8.6400E+06                      2.000       0.250  0.00107      1.00000
 8.6400E+06                      2.250       0.000  0.51153      1.00000
 8.6400E+06                      2.250       0.001  0.50561      1.00000
 8.6400E+06                      2.250       0.025  0.34590      1.00000
 8.6400E+06                      2.250       0.050  0.21833      1.00000
 8.6400E+06                      2.250       0.075  0.12866      1.00000
 8.6400E+06                      2.250       0.100  0.07064      1.00000
 8.6400E+06                      2.250       0.125  0.03606      1.00000
 8.6400E+06                      2.250       0.150  0.01710      1.00000
 8.6400E+06                      2.250       0.175  0.00753      1.00000
 8.6400E+06                      2.250       0.200  0.00310      1.00000
 8.6400E+06                      2.250       0.250  0.00081      1.00000
 8.6400E+06                      2.500       0.000  0.46546      1.00000
 8.6400E+06                      2.500       0.001  0.45984      1.00000
 8.6400E+06                      2.500       0.025  0.30954      1.00000
 8.6400E+06                      2.500       0.050  0.19196      1.00000
 8.6400E+06                      2.500       0.075  0.11107      1.00000
 8.6400E+06                      2.500       0.100  0.05984      1.00000
 8.6400E+06                      2.500       0.125  0.02996      1.00000
 8.6400E+06                      2.500       0.150  0.01393      1.00000
 8.6400E+06                      2.500       0.175  0.00601      1.00000
 8.6400E+06                      2.500       0.200  0.00242      1.00000
 8.6400E+06                      2.500       0.250  0.00060      1.00000
 8.6400E+06                      2.750       0.000  0.42174      1.00000
 8.6400E+06                      2.750       0.001  0.41642      1.00000
 8.6400E+06                      2.750       0.025  0.27576      1.00000
 8.6400E+06                      2.750       0.050  0.16799      1.00000
 8.6400E+06                      2.750       0.075  0.09542      1.00000
 8.6400E+06                      2.750       0.100  0.05043      1.00000
 8.6400E+06                      2.750       0.125  0.02477      1.00000
 8.6400E+06                      2.750       0.150  0.01128      1.00000
 8.6400E+06                      2.750       0.175  0.00477      1.00000
 8.6400E+06                      2.750       0.200  0.00188      1.00000
 8.6400E+06                      2.750       0.250  0.00045      1.00000
 8.6400E+06                      3.000       0.000  0.38047      1.00000
 8.6400E+06                      3.000       0.001  0.37547      1.00000
 8.6400E+06                      3.000       0.025  0.24454      1.00000
 8.6400E+06                      3.000       0.050  0.14631      1.00000
 8.6400E+06                      3.000       0.075  0.08156      1.00000
 8.6400E+06                      3.000       0.100  0.04229      1.00000
 8.6400E+06                      3.000       0.125  0.02036      1.00000
 8.6400E+06                      3.000       0.150  0.00909      1.00000
 8.6400E+06                      3.000       0.175  0.00376      1.00000
 8.6400E+06                      3.000       0.200  0.00145      1.00000
 8.6400E+06                      3.000       0.250  0.00033      1.00000
